queue,second,cpus
archiving,1682155000,1
cryo_core,1682155000,72
interactive,1682155000,32
cryoem,1682155000,708
standard,1682155000,11567
large_mem,1682155000,91
priority,1682155000,130
gpu,1682155000,448
compbio,1682155000,192
short,1682155000,1
interactive,1682156000,32
cryoem,1682156000,708
superdome,1682156000,32
compbio_auto,1682156000,136
cryo_core,1682156000,72
archiving,1682156000,1
priority,1682156000,132
compbio,1682156000,185
gpu,1682156000,424
standard,1682156000,11713
large_mem,1682156000,90
standard,1682157000,11701
cryoem,1682157000,708
archiving,1682157000,1
priority,1682157000,129
gpu,1682157000,424
large_mem,1682157000,90
compbio_auto,1682157000,136
interactive,1682157000,32
cryo_core,1682157000,72
superdome,1682157000,32
compbio,1682157000,170
archiving,1682158000,1
cryoem,1682158000,706
gpu,1682158000,424
cryo_core,1682158000,72
standard,1682158000,11596
priority,1682158000,132
compbio,1682158000,164
compbio_auto,1682158000,136
superdome,1682158000,32
large_mem,1682158000,90
interactive,1682158000,32
cryo_core,1682159000,72
interactive,1682159000,32
priority,1682159000,131
standard,1682159000,11164
compbio_auto,1682159000,134
gpu,1682159000,424
compbio,1682159000,160
large_mem,1682159000,90
archiving,1682159000,1
superdome,1682159000,32
cryoem,1682159000,702
priority,1682160000,125
gpu,1682160000,424
superdome,1682160000,32
compbio,1682160000,158
cryoem,1682160000,702
standard,1682160000,10721
interactive,1682160000,32
large_mem,1682160000,90
cryo_core,1682160000,72
archiving,1682160000,1
compbio_auto,1682160000,134
superdome,1682161000,32
standard,1682161000,10331
large_mem,1682161000,90
gpu,1682161000,424
cryoem,1682161000,702
compbio_auto,1682161000,134
interactive,1682161000,32
cryo_core,1682161000,72
compbio,1682161000,155
priority,1682161000,124
archiving,1682161000,1
standard,1682162000,9935
gpu,1682162000,424
compbio_auto,1682162000,133
cryoem,1682162000,702
archiving,1682162000,1
cryo_core,1682162000,72
compbio,1682162000,148
priority,1682162000,120
interactive,1682162000,32
superdome,1682162000,32
large_mem,1682162000,90
cryo_core,1682163000,72
standard,1682163000,9532
priority,1682163000,86
superdome,1682163000,32
gpu,1682163000,424
archiving,1682163000,1
interactive,1682163000,32
compbio,1682163000,1073
cryoem,1682163000,662
large_mem,1682163000,90
compbio_auto,1682163000,134
archiving,1682164000,1
large_mem,1682164000,90
superdome,1682164000,32
compbio,1682164000,142
cryo_core,1682164000,72
cryoem,1682164000,662
standard,1682164000,9214
gpu,1682164000,424
compbio_auto,1682164000,133
priority,1682164000,86
interactive,1682164000,32
interactive,1682165000,33
standard,1682165000,8887
archiving,1682165000,1
large_mem,1682165000,90
gpu,1682165000,424
compbio,1682165000,137
priority,1682165000,83
compbio_auto,1682165000,133
cryoem,1682165000,662
cryo_core,1682165000,72
superdome,1682165000,32
compbio_auto,1682166000,133
archiving,1682166000,1
interactive,1682166000,33
standard,1682166000,8603
gpu,1682166000,424
cryoem,1682166000,662
large_mem,1682166000,90
priority,1682166000,82
compbio,1682166000,135
cryo_core,1682166000,72
superdome,1682166000,32
compbio_auto,1682167000,134
cryoem,1682167000,664
interactive,1682167000,38
superdome,1682167000,32
standard,1682167000,8444
cryo_core,1682167000,72
priority,1682167000,81
archiving,1682167000,1
gpu,1682167000,424
compbio,1682167000,135
large_mem,1682167000,90
compbio_auto,1682168000,133
large_mem,1682168000,90
priority,1682168000,81
archiving,1682168000,1
standard,1682168000,12068
superdome,1682168000,32
gpu,1682168000,448
compbio,1682168000,134
cryo_core,1682168000,96
interactive,1682168000,34
cryoem,1682168000,532
interactive,1682169000,34
compbio_auto,1682169000,135
priority,1682169000,81
cryo_core,1682169000,72
large_mem,1682169000,90
superdome,1682169000,32
cryoem,1682169000,568
compbio,1682169000,135
gpu,1682169000,460
standard,1682169000,9194
archiving,1682169000,1
cryoem,1682170000,568
priority,1682170000,81
archiving,1682170000,1
superdome,1682170000,32
large_mem,1682170000,90
gpu,1682170000,460
standard,1682170000,7362
cryo_core,1682170000,48
compbio,1682170000,131
interactive,1682170000,34
compbio_auto,1682170000,134
cryo_core,1682171000,48
standard,1682171000,6977
gpu,1682171000,460
compbio,1682171000,129
superdome,1682171000,32
priority,1682171000,84
interactive,1682171000,34
compbio_auto,1682171000,134
cryoem,1682171000,568
archiving,1682171000,1
large_mem,1682171000,90
standard,1682172000,6570
archiving,1682172000,1
superdome,1682172000,32
compbio_auto,1682172000,134
cryo_core,1682172000,48
cryoem,1682172000,562
priority,1682172000,82
gpu,1682172000,460
compbio,1682172000,128
interactive,1682172000,34
large_mem,1682172000,90
compbio_auto,1682173000,133
superdome,1682173000,32
gpu,1682173000,588
priority,1682173000,81
interactive,1682173000,34
archiving,1682173000,1
cryo_core,1682173000,48
cryoem,1682173000,562
compbio,1682173000,165
large_mem,1682173000,90
standard,1682173000,6188
priority,1682174000,81
superdome,1682174000,32
standard,1682174000,6127
gpu,1682174000,612
compbio_auto,1682174000,133
interactive,1682174000,34
cryo_core,1682174000,48
archiving,1682174000,1
short,1682174000,1
large_mem,1682174000,90
cryoem,1682174000,562
compbio,1682174000,169
large_mem,1682175000,90
archiving,1682175000,1
compbio,1682175000,160
superdome,1682175000,32
standard,1682175000,6090
priority,1682175000,80
interactive,1682175000,33
cryoem,1682175000,638
gpu,1682175000,588
compbio_auto,1682175000,136
cryo_core,1682175000,48
large_mem,1682176000,90
cryo_core,1682176000,48
compbio_auto,1682176000,135
priority,1682176000,80
gpu,1682176000,588
cryoem,1682176000,638
archiving,1682176000,1
standard,1682176000,6061
compbio,1682176000,156
interactive,1682176000,32
superdome,1682176000,32
cryoem,1682177000,638
archiving,1682177000,1
cryo_core,1682177000,48
compbio,1682177000,153
priority,1682177000,80
gpu,1682177000,588
superdome,1682177000,32
large_mem,1682177000,90
compbio_auto,1682177000,134
standard,1682177000,6859
interactive,1682177000,34
cryoem,1682178000,638
gpu,1682178000,612
superdome,1682178000,32
archiving,1682178000,1
compbio_auto,1682178000,133
interactive,1682178000,32
standard,1682178000,6043
large_mem,1682178000,90
short,1682178000,1
cryo_core,1682178000,48
compbio,1682178000,162
priority,1682178000,80
compbio_auto,1682179000,132
gpu,1682179000,588
superdome,1682179000,32
cryoem,1682179000,702
compbio,1682179000,163
standard,1682179000,6892
large_mem,1682179000,90
priority,1682179000,80
archiving,1682179000,1
cryo_core,1682179000,48
interactive,1682179000,36
large_mem,1682180000,90
archiving,1682180000,1
gpu,1682180000,588
compbio_auto,1682180000,131
cryo_core,1682180000,48
cryoem,1682180000,638
standard,1682180000,10180
priority,1682180000,80
compbio,1682180000,159
interactive,1682180000,36
superdome,1682180000,32
compbio_auto,1682181000,130
archiving,1682181000,1
priority,1682181000,80
interactive,1682181000,37
cryoem,1682181000,640
standard,1682181000,7607
superdome,1682181000,32
large_mem,1682181000,90
cryo_core,1682181000,48
gpu,1682181000,588
compbio,1682181000,158
archiving,1682182000,1
priority,1682182000,80
cryoem,1682182000,704
large_mem,1682182000,90
standard,1682182000,8632
superdome,1682182000,32
compbio_auto,1682182000,129
cryo_core,1682182000,48
interactive,1682182000,36
gpu,1682182000,460
compbio,1682182000,157
compbio_auto,1682183000,129
gpu,1682183000,460
priority,1682183000,79
superdome,1682183000,32
compbio,1682183000,153
cryo_core,1682183000,48
archiving,1682183000,1
cryoem,1682183000,642
interactive,1682183000,37
large_mem,1682183000,90
standard,1682183000,12284
archiving,1682184000,1
standard,1682184000,7531
cryoem,1682184000,642
compbio,1682184000,147
priority,1682184000,79
superdome,1682184000,32
compbio_auto,1682184000,129
gpu,1682184000,460
interactive,1682184000,37
large_mem,1682184000,90
cryo_core,1682184000,48
large_mem,1682185000,90
cryo_core,1682185000,48
priority,1682185000,79
compbio_auto,1682185000,129
archiving,1682185000,1
interactive,1682185000,37
superdome,1682185000,32
gpu,1682185000,460
standard,1682185000,7892
cryoem,1682185000,642
compbio,1682185000,2482
cryoem,1682186000,630
gpu,1682186000,459
archiving,1682186000,1
compbio_auto,1682186000,130
cryo_core,1682186000,48
superdome,1682186000,32
priority,1682186000,79
standard,1682186000,8396
interactive,1682186000,35
compbio,1682186000,2024
large_mem,1682186000,90
archiving,1682187000,1
standard,1682187000,7264
superdome,1682187000,32
short,1682187000,1
gpu,1682187000,483
interactive,1682187000,35
compbio,1682187000,1992
cryo_core,1682187000,48
large_mem,1682187000,90
cryoem,1682187000,638
priority,1682187000,79
compbio_auto,1682187000,130
cryoem,1682188000,654
standard,1682188000,6410
archiving,1682188000,1
priority,1682188000,79
interactive,1682188000,35
superdome,1682188000,32
gpu,1682188000,459
large_mem,1682188000,90
cryo_core,1682188000,48
compbio,1682188000,1892
compbio_auto,1682188000,129
large_mem,1682189000,90
cryo_core,1682189000,48
cryoem,1682189000,590
priority,1682189000,80
compbio,1682189000,1538
archiving,1682189000,1
compbio_auto,1682189000,129
standard,1682189000,7903
interactive,1682189000,34
gpu,1682189000,482
short,1682189000,1
superdome,1682189000,32
compbio_auto,1682190000,129
compbio,1682190000,1314
priority,1682190000,79
cryoem,1682190000,526
short,1682190000,1
archiving,1682190000,1
standard,1682190000,5855
superdome,1682190000,32
large_mem,1682190000,90
gpu,1682190000,458
cryo_core,1682190000,48
interactive,1682190000,34
compbio,1682191000,1206
cryoem,1682191000,462
archiving,1682191000,1
cryo_core,1682191000,48
interactive,1682191000,34
standard,1682191000,6013
priority,1682191000,79
superdome,1682191000,32
short,1682191000,1
large_mem,1682191000,90
gpu,1682191000,482
compbio_auto,1682191000,129
compbio,1682192000,1081
compbio_auto,1682192000,129
interactive,1682192000,34
cryo_core,1682192000,48
gpu,1682192000,458
standard,1682192000,6007
cryoem,1682192000,478
superdome,1682192000,32
large_mem,1682192000,90
priority,1682192000,79
archiving,1682192000,1
interactive,1682193000,34
priority,1682193000,79
archiving,1682193000,1
gpu,1682193000,458
standard,1682193000,5894
cryoem,1682193000,486
large_mem,1682193000,90
compbio,1682193000,912
cryo_core,1682193000,48
superdome,1682193000,32
compbio_auto,1682193000,129
gpu,1682194000,458
cryo_core,1682194000,48
cryoem,1682194000,454
interactive,1682194000,34
large_mem,1682194000,90
compbio_auto,1682194000,129
priority,1682194000,79
compbio,1682194000,828
superdome,1682194000,32
standard,1682194000,5790
archiving,1682194000,1
compbio,1682195000,606
gpu,1682195000,458
large_mem,1682195000,90
superdome,1682195000,32
standard,1682195000,5789
archiving,1682195000,1
compbio_auto,1682195000,129
priority,1682195000,79
interactive,1682195000,30
cryo_core,1682195000,48
cryoem,1682195000,582
compbio,1682196000,481
compbio_auto,1682196000,129
superdome,1682196000,32
priority,1682196000,79
interactive,1682196000,30
archiving,1682196000,1
standard,1682196000,7290
cryo_core,1682196000,48
large_mem,1682196000,90
cryoem,1682196000,548
gpu,1682196000,458
gpu,1682197000,458
compbio_auto,1682197000,129
cryoem,1682197000,548
priority,1682197000,79
cryo_core,1682197000,48
compbio,1682197000,444
archiving,1682197000,1
large_mem,1682197000,90
interactive,1682197000,29
standard,1682197000,6953
superdome,1682197000,32
gpu,1682198000,482
large_mem,1682198000,90
superdome,1682198000,32
interactive,1682198000,29
compbio_auto,1682198000,129
cryoem,1682198000,548
cryo_core,1682198000,48
priority,1682198000,114
short,1682198000,1
archiving,1682198000,1
standard,1682198000,8784
compbio,1682198000,389
gpu,1682199000,458
large_mem,1682199000,90
compbio_auto,1682199000,129
interactive,1682199000,28
compbio,1682199000,377
cryo_core,1682199000,48
archiving,1682199000,1
cryoem,1682199000,548
priority,1682199000,116
superdome,1682199000,32
standard,1682199000,5784
short,1682199000,1
standard,1682200000,5783
archiving,1682200000,1
cryo_core,1682200000,48
superdome,1682200000,32
compbio_auto,1682200000,130
cryoem,1682200000,548
compbio,1682200000,351
gpu,1682200000,458
large_mem,1682200000,90
priority,1682200000,137
interactive,1682200000,26
gpu,1682201000,482
cryo_core,1682201000,48
short,1682201000,1
priority,1682201000,148
standard,1682201000,5797
archiving,1682201000,1
compbio,1682201000,341
interactive,1682201000,26
large_mem,1682201000,100
compbio_auto,1682201000,129
cryoem,1682201000,548
superdome,1682201000,32
archiving,1682202000,1
cryo_core,1682202000,48
superdome,1682202000,32
priority,1682202000,155
standard,1682202000,8198
compbio_auto,1682202000,129
cryoem,1682202000,540
short,1682202000,1
compbio,1682202000,341
interactive,1682202000,26
gpu,1682202000,458
large_mem,1682202000,100
compbio,1682203000,340
large_mem,1682203000,100
gpu,1682203000,458
compbio_auto,1682203000,129
archiving,1682203000,1
interactive,1682203000,26
standard,1682203000,6654
priority,1682203000,150
cryo_core,1682203000,48
superdome,1682203000,32
cryoem,1682203000,548
interactive,1682204000,27
compbio,1682204000,340
priority,1682204000,161
large_mem,1682204000,100
compbio_auto,1682204000,129
cryoem,1682204000,516
cryo_core,1682204000,48
standard,1682204000,6303
superdome,1682204000,32
archiving,1682204000,1
gpu,1682204000,458
compbio_auto,1682205000,129
compbio,1682205000,340
priority,1682205000,154
interactive,1682205000,27
large_mem,1682205000,100
cryo_core,1682205000,48
gpu,1682205000,458
cryoem,1682205000,518
superdome,1682205000,32
archiving,1682205000,1
standard,1682205000,6289
standard,1682206000,6289
priority,1682206000,149
large_mem,1682206000,100
interactive,1682206000,27
compbio_auto,1682206000,129
archiving,1682206000,1
cryoem,1682206000,518
short,1682206000,2
cryo_core,1682206000,48
compbio,1682206000,338
superdome,1682206000,32
gpu,1682206000,506
cryo_core,1682207000,48
cryoem,1682207000,518
standard,1682207000,6775
compbio,1682207000,338
priority,1682207000,157
superdome,1682207000,32
gpu,1682207000,458
large_mem,1682207000,100
archiving,1682207000,1
compbio_auto,1682207000,129
interactive,1682207000,26
cryoem,1682208000,518
gpu,1682208000,458
priority,1682208000,190
compbio,1682208000,346
large_mem,1682208000,100
superdome,1682208000,32
interactive,1682208000,26
compbio_auto,1682208000,130
cryo_core,1682208000,48
standard,1682208000,6293
archiving,1682208000,1
archiving,1682209000,1
cryoem,1682209000,522
large_mem,1682209000,100
superdome,1682209000,32
compbio,1682209000,343
priority,1682209000,184
compbio_auto,1682209000,129
standard,1682209000,6283
gpu,1682209000,458
interactive,1682209000,26
cryo_core,1682209000,48
compbio_auto,1682210000,129
compbio,1682210000,340
cryoem,1682210000,522
standard,1682210000,6274
archiving,1682210000,1
interactive,1682210000,25
gpu,1682210000,458
large_mem,1682210000,100
cryo_core,1682210000,48
superdome,1682210000,32
priority,1682210000,185
compbio,1682211000,332
standard,1682211000,6272
superdome,1682211000,32
archiving,1682211000,1
cryoem,1682211000,522
gpu,1682211000,459
priority,1682211000,145
large_mem,1682211000,100
cryo_core,1682211000,48
compbio_auto,1682211000,129
interactive,1682211000,26
superdome,1682212000,32
compbio_auto,1682212000,129
cryoem,1682212000,522
compbio,1682212000,332
cryo_core,1682212000,48
standard,1682212000,6259
gpu,1682212000,458
large_mem,1682212000,100
priority,1682212000,155
archiving,1682212000,1
interactive,1682212000,26
compbio_auto,1682213000,130
gpu,1682213000,458
archiving,1682213000,1
compbio,1682213000,333
priority,1682213000,181
cryo_core,1682213000,48
superdome,1682213000,32
large_mem,1682213000,100
cryoem,1682213000,522
standard,1682213000,6260
interactive,1682213000,27
priority,1682214000,196
interactive,1682214000,27
standard,1682214000,6267
gpu,1682214000,458
cryo_core,1682214000,48
archiving,1682214000,1
cryoem,1682214000,490
large_mem,1682214000,100
compbio,1682214000,315
superdome,1682214000,32
compbio_auto,1682214000,129
superdome,1682215000,32
compbio_auto,1682215000,130
priority,1682215000,218
gpu,1682215000,482
cryoem,1682215000,490
standard,1682215000,6278
archiving,1682215000,1
interactive,1682215000,27
rhel8_test,1682215000,2
large_mem,1682215000,100
compbio,1682215000,348
large_mem,1682216000,100
gpu,1682216000,458
superdome,1682216000,32
archiving,1682216000,1
compbio_auto,1682216000,129
priority,1682216000,170
interactive,1682216000,27
compbio,1682216000,330
cryoem,1682216000,490
standard,1682216000,6249
cryoem,1682217000,490
interactive,1682217000,27
priority,1682217000,199
compbio_auto,1682217000,129
compbio,1682217000,327
archiving,1682217000,1
superdome,1682217000,32
large_mem,1682217000,101
standard,1682217000,6238
gpu,1682217000,457
short,1682218000,1
archiving,1682218000,1
gpu,1682218000,481
priority,1682218000,162
cryoem,1682218000,490
superdome,1682218000,32
interactive,1682218000,27
large_mem,1682218000,102
compbio_auto,1682218000,129
compbio,1682218000,321
standard,1682218000,6228
compbio,1682219000,318
standard,1682219000,6728
gpu,1682219000,457
compbio_auto,1682219000,129
large_mem,1682219000,102
archiving,1682219000,1
interactive,1682219000,27
priority,1682219000,166
cryoem,1682219000,490
superdome,1682219000,32
compbio,1682220000,308
compbio_auto,1682220000,129
cryoem,1682220000,502
large_mem,1682220000,102
superdome,1682220000,32
gpu,1682220000,481
short,1682220000,1
interactive,1682220000,26
archiving,1682220000,1
standard,1682220000,7720
priority,1682220000,129
archiving,1682221000,1
cryoem,1682221000,692
compbio_auto,1682221000,129
compbio,1682221000,297
standard,1682221000,6239
superdome,1682221000,32
large_mem,1682221000,102
priority,1682221000,62
interactive,1682221000,26
gpu,1682221000,585
interactive,1682222000,26
priority,1682222000,62
archiving,1682222000,1
compbio,1682222000,291
gpu,1682222000,585
superdome,1682222000,32
cryoem,1682222000,682
standard,1682222000,7028
compbio_auto,1682222000,131
large_mem,1682222000,100
compbio,1682223000,296
compbio_auto,1682223000,131
cryoem,1682223000,682
interactive,1682223000,27
priority,1682223000,62
archiving,1682223000,1
gpu,1682223000,586
